,id,operation_time,code,category,timeout,answer,status
0,1,2020-01-26 01:12:38.553978,111-15302-1,None,0.044799,provider == null,Услга не выведена
1,2,2020-01-26 01:12:39.524844,111-15299-1,None,0.956252,bisys.UnknownAccountException: BIS-01640: Unknown Лицевой счет 11,OK
2,3,2020-01-26 01:12:40.342339,111-15293-1,None,0.800363,bisys.UnknownAccountException: BIS-01640: Unknown ПОЗЫВНОЙ 1,OK
3,4,2020-01-26 01:12:40.402019,13542-13833-77,None,0.045227,provider == null,Услга не выведена
4,5,2020-01-26 01:12:40.994703,111-15291-1,None,0.576394,bisys.UnknownAccountException: BIS-01640: Unknown ПОЗЫВНОЙ 1,OK
5,6,2020-01-26 01:12:41.055663,111-15290-1,None,0.044946,provider == null,Услга не выведена
6,7,2020-01-26 01:12:41.842965,111-15288-1,A,0.771025,bisys.UnknownAccountException: BIS-01640: Unknown Номер договора 11,OK
7,8,2020-01-26 01:12:41.910908,13542-13833-76,None,0.04801,PaymentPropertyException: BIS-01275: Incorrect payment property ТЕЛЕФОН ОТПРАВИТЕЛЯ	: обязательно для заполнения,Format
8,9,2020-01-26 01:12:42.353933,111-15283-1,None,0.423598,"--SUCCESS--ИНТЕРНЕТ ПРОТОКОЛ ТРАНЗИТ ТЕЛЕКОМ, ООО(id:12438, code:111-15283-1)properties:{Л_СЧЕТ=11}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
9,10,2020-01-26 01:12:43.007547,111-15282-1,None,0.636495,"--SUCCESS--RF.TAXI(id:12500, code:111-15282-1)properties:{ПОЗЫВНОЙ=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
10,11,2020-01-26 01:12:43.074732,13542-13833-75,None,0.047944,PaymentPropertyException: BIS-01275: Incorrect payment property ТЕЛЕФОН ОТПРАВИТЕЛЯ	: обязательно для заполнения,Format
11,12,2020-01-26 01:12:43.134826,111-15280-1,None,0.044721,PaymentPropertyException: BIS-01275: Incorrect payment property Наименование товара: обязательно для заполнения,Format
12,13,2020-01-26 01:12:44.090956,111-15279-2,None,0.939982,bisys.UnknownAccountException: BIS-01640: Unknown Лицевой счет 11,OK
